City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
60,Ribeira Grande,PT,38.5167,-28.7,75.6,88,20,5.75,few clouds,2022-07-21 14:23:06
61,Hirara,JP,24.8,125.2833,85.35,77,3,10.87,clear sky,2022-07-21 14:23:07
62,Genhe,CN,50.7833,121.5167,64.44,84,68,2.59,light rain,2022-07-21 14:23:07
63,Ostrovnoy,RU,68.0531,39.5131,55.98,77,63,5.64,broken clouds,2022-07-21 14:21:09
64,Sistranda,NO,63.7256,8.834,55.36,87,37,15.7,scattered clouds,2022-07-21 14:23:08
65,Marsa Matruh,EG,31.3525,27.2453,81.99,56,0,14.32,clear sky,2022-07-21 14:23:08
66,Dunedin,NZ,-45.8742,170.5036,47.8,83,100,5.99,overcast clouds,2022-07-21 14:23:08
67,Nadym,RU,65.5333,72.5167,52.39,57,100,9.89,overcast clouds,2022-07-21 14:23:01
68,Bandarbeyla,SO,9.4942,50.8122,80.02,66,97,31.21,overcast clouds,2022-07-21 14:23:09
69,Tiksi,RU,71.6872,128.8694,40.69,84,10,7.85,clear sky,2022-07-21 14:23:09
70,Pemangkat,ID,1.1667,108.9667,79.99,84,57,8.23,broken clouds,2022-07-21 14:23:09
71,New Norfolk,AU,-42.7826,147.0587,40.91,80,0,2.86,clear sky,2022-07-21 14:23:10
72,Airai,TL,-8.9266,125.4092,58.14,90,99,3.27,overcast clouds,2022-07-21 14:23:10
73,Lubango,AO,-14.9172,13.4925,75.56,18,1,5.82,clear sky,2022-07-21 14:23:10
74,Saldanha,ZA,-33.0117,17.9442,62.65,64,3,9.44,clear sky,2022-07-21 14:23:11
75,Hithadhoo,MV,-0.6,73.0833,81.82,70,100,5.79,light rain,2022-07-21 14:23:11
76,Quesnel,CA,52.9999,-122.5029,48.7,100,18,0.0,few clouds,2022-07-21 14:20:07
77,Port Elizabeth,ZA,-33.918,25.5701,62.89,71,0,9.22,clear sky,2022-07-21 14:18:23
78,Chokurdakh,RU,70.6333,147.9167,39.4,51,100,8.79,overcast clouds,2022-07-21 14:23:12
79,Meridian,US,43.6121,-116.3915,75.09,51,0,5.75,haze,2022-07-21 14:23:12
80,Kapaa,US,22.0752,-159.319,80.19,81,100,19.57,light rain,2022-07-21 14:23:12
81,Prado,BR,-17.3411,-39.2208,78.37,62,11,8.3,few clouds,2022-07-21 14:23:13
82,Pisco,PE,-13.7,-76.2167,61.02,88,100,6.91,smoke,2022-07-21 14:23:13
