City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
155,Kimbe,PG,74.84,overcast clouds,-5.5502,150.1429,Kimbe
157,Hasaki,JP,75.6,broken clouds,35.7333,140.8333,Kamisu
158,Filadelfia,US,88.02,broken clouds,39.9523,-75.1638,Philadelphia
159,Bethel,US,87.19,scattered clouds,41.3712,-73.414,Danbury
161,Basar,IN,73.98,broken clouds,27.9833,94.6667,Basar
164,Alofi,NU,71.49,few clouds,-19.0595,-169.9187,Alofi
165,Beatrice,US,81.18,broken clouds,40.2681,-96.747,Beatrice
168,Lagoa,PT,70.92,broken clouds,39.05,-27.9833,Santa Cruz Da Graciosa
169,Tura,IN,76.73,broken clouds,25.5198,90.2201,Tura
170,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Puerto Ayora
171,Chatra,IN,81.43,scattered clouds,24.2167,84.8667,Chatra
173,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,San Andrés
174,Boromo,BF,80.38,overcast clouds,11.75,-2.9333,Boromo
175,Namatanai,PG,78.8,scattered clouds,-3.6667,152.4333,Namatanai
177,The Valley,AI,89.46,few clouds,18.217,-63.0578,The Valley
179,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,Puerto Vallarta
181,Huilong,CN,81.93,moderate rain,31.8111,121.655,Nantong
183,Novocheboksarsk,RU,70.36,few clouds,56.111,47.4776,Kalininskiy Rayon
184,Saint-Michel-Des-Saints,CA,82.94,scattered clouds,46.6834,-73.9159,Saint-Michel-des-Saints
187,Sibu,MY,79.11,scattered clouds,2.3,111.8167,Sibu
188,Lata,PT,80.17,scattered clouds,40.1629,-8.3327,Coimbra
189,Canatlan,MX,80.19,few clouds,24.5167,-104.7833,Ciudad Canatlán
192,Hambantota,LK,80.65,overcast clouds,6.1241,81.1185,Hambantota
200,Awbari,LY,91.89,clear sky,26.5921,12.7805,Awbari‎
201,Moosomin,CA,83.61,clear sky,50.1333,-101.6677,Moosomin
202,Oktyabrskoye,RU,77.14,few clouds,43.0645,44.7417,Vladikavkaz
203,Villarrobledo,ES,96.87,clear sky,39.2699,-2.6012,Villarrobledo
205,Pemangkat,ID,77.97,overcast clouds,1.1667,108.9667,Pemangkat
208,Atasu,KZ,71.2,scattered clouds,48.6814,71.6433,Atasu
210,Kovur,IN,82.6,overcast clouds,14.4833,79.9833,Nellore
211,Champerico,GT,90.14,broken clouds,14.3,-91.9167,Champerico
212,Chhapar,IN,91.9,moderate rain,27.8167,74.4,Beer Chhapar Rural
214,Unai,BR,87.08,scattered clouds,-16.3575,-46.9061,Unaí
215,Port Elizabeth,ZA,77.09,clear sky,-33.918,25.5701,Gqeberha
217,Nalut,LY,94.15,clear sky,30.3333,10.85,
223,Sandanski,BG,77.7,clear sky,41.5667,23.2833,Sandanski
224,Itambacuri,BR,85.14,few clouds,-18.0311,-41.685,Itambacuri
226,Lashio,MM,70.2,moderate rain,22.9333,97.75,Lashio
227,Caravelas,BR,78.21,clear sky,-17.7125,-39.2481,Caravelas
228,Wawa,NG,76.78,light rain,9.9022,4.4192,Wawa
229,Havelock,US,88.99,clear sky,34.8791,-76.9013,Havelock
231,Puerto Gaitan,CO,82.08,overcast clouds,4.3133,-72.0816,Puerto Gaitán
232,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Amami
233,Belmonte,BR,77.49,scattered clouds,-15.8631,-38.8828,Belmonte
236,Puerto Quijarro,BO,82.83,overcast clouds,-17.7833,-57.7667,Puerto Quijarro
237,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Wilson Hill
239,Zabol,AF,76.33,clear sky,32.25,67.25,Kariz Mirza
242,Sohag,EG,93.49,clear sky,26.557,31.6948,Sohag
244,Sibolga,ID,76.23,clear sky,1.7427,98.7792,Sibolga
245,Elmvale,CA,86.95,broken clouds,44.5834,-79.8664,Elmvale
